아파트,거래금액,년,월,일,법정동,지역코드,전용면적,층
영종신명스카이뷰주얼리,25000,2026,04,01,중산동,00000,57.016,7
동춘마을,25400,2026,04,01,동춘동,00000,59.36,3
동아,16000,2026,04,01,용현동,00000,54.87,2
연수대우.삼환,44300,2026,04,01,동춘동,00000,90.18,8
운서역반도유보라퍼스티지,45000,2026,04,01,운서동,00000,84.983,14
백산2,29000,2026,04,01,옥련동,00000,84.8,3
윤성,20300,2026,04,01,선학동,00000,59.86,11
대림3,19700,2026,04,01,동춘동,00000,53.01,1
영종센트럴푸르지오자이,35000,2026,04,01,운남동,00000,64.7792,8
예하임아파트,25300,2026,04,01,주안동,00000,67.3,6
금양아파트,16300,2026,04,01,주안동,00000,59.955,14
영종국제도시한신더휴스카이파크,30000,2026,04,01,중산동,00000,59.9026,26
주안역센트레빌,38800,2026,04,01,주안동,00000,59.9813,2
송도역서해그랑블,45500,2026,04,01,옥련동,00000,59.146,28
주공3,16100,2026,04,01,연수동,00000,44.66,15
용현2단지금호타운,29200,2026,04,01,용현동,00000,71.25,4
동남,13500,2026,04,01,청학동,00000,40.71,2
아주1,14500,2026,04,01,옥련동,00000,29.7,5
호반써밋스카이센트럴,44300,2026,04,01,중산동,00000,84.9786,12
동부(관교동부),35000,2026,04,01,관교동,00000,84.8765,8
성지,35000,2026,04,01,관교동,00000,84.945,2
인천용현엑슬루타워,40200,2026,04,01,용현동,00000,110.5065,10
우성,23500,2026,04,01,용현동,00000,84.84,6
영종주공스카이빌10단지,22500,2026,04,01,운서동,00000,51.74,9
대동,37250,2026,04,01,연수동,00000,75.12,11
품에지은2차,38700,2026,04,01,신흥동1가,00000,69.52,11
e편한세상영종국제도시센텀베뉴,48800,2026,04,01,중산동,00000,84.9819,5
한양2,41500,2026,04,01,동춘동,00000,84.97,5
대림3,19000,2026,04,01,동춘동,00000,53.01,5
동암신동아,26000,2026,04,01,십정동,00000,59.8,7
서희스타힐스부평센트럴,39500,2026,04,01,십정동,00000,66.3137,17
뉴서울아파트,26500,2026,04,01,산곡동,00000,74.41,7
논현단풍마을트리플에듀,36500,2026,04,01,논현동,00000,84.38,18
더포레스트,33800,2026,04,01,서창동,00000,59.98,13
에코메트로11,50000,2026,04,01,논현동,00000,84.993,26
에코메트로7,49800,2026,04,01,논현동,00000,84.992,28
구월힐스테이트1단지,46000,2026,04,01,구월동,00000,59.9,12
구월힐스테이트1단지,45000,2026,04,01,구월동,00000,83.9829,5
만수주공2단지,25500,2026,04,01,만수동,00000,61.52,6
대림1차,22200,2026,04,01,부평동,00000,50.155,4
다인팰리스,33300,2026,04,01,부평동,00000,63.46,16
청천푸르지오,32000,2026,04,01,청천동,00000,59.36,5
송도SK뷰센트럴,81000,2026,04,01,송도동,00000,84.7854,29
더샵송도마리나베이,60000,2026,04,01,송도동,00000,84.4546,10
베르디움더퍼스트,73000,2026,04,01,송도동,00000,84.9572,5
송도SKVIEW,88000,2026,04,01,송도동,00000,99.9891,17
더샵엑스포10단지,88500,2026,04,01,송도동,00000,128.4673,7
e편한세상송도,62800,2026,04,01,송도동,00000,84.2538,12
해모로월드뷰,81000,2026,04,01,송도동,00000,113.9066,13
송도웰카운티3단지,84500,2026,04,01,송도동,00000,118.02,19
"희망(1동,2동)",17500,2026,04,01,간석동,00000,61.745,3
더샵부평센트럴시티,56200,2026,04,01,십정동,00000,69.3321,30
신태양,14000,2026,04,01,간석동,00000,43.99,4
검단신도시푸르지오더베뉴,70000,2026,04,01,원당동,00000,84.93,24
청라골드클래스,58000,2026,04,01,청라동,00000,117.1169,12
검단신도시디에트르더힐,58000,2026,04,01,원당동,00000,75.8458,17
청라힐스테이트,57500,2026,04,01,청라동,00000,84.977,10
청라한라비발디,60000,2026,04,01,청라동,00000,101.7327,4
유승,20000,2026,04,01,왕길동,00000,59.75,10
진주4,35000,2026,04,01,가좌동,00000,136.23,14
아주,18000,2026,04,01,방축동,00000,66.75,5
삼산주공미래타운3차,28000,2026,04,01,삼산동,00000,59.41,4
삼산타운주공1단지,37200,2026,04,01,삼산동,00000,51.83,6
서해그랑블,47000,2026,04,01,검암동,00000,69.6616,16
유승한내들 에듀파크,60500,2026,04,01,당하동,00000,92.2153,7
인천계양코아루센트럴파크,54000,2026,04,01,용종동,00000,84.45,12
초정마을하나,35300,2026,04,01,용종동,00000,84.99,12
용종마을중앙,18000,2026,04,01,용종동,00000,39.825,6
당하KCC스위첸,35500,2026,04,01,당하동,00000,73.34,10
검단힐스테이트6차,49500,2026,04,01,당하동,00000,84.9908,14
검단신도시한신더휴캐널파크(THEHUECANALPARK),63000,2026,04,01,당하동,00000,84.34,5
우미린파크뷰1단지,43000,2026,04,01,당하동,00000,59.8198,4
검단SKVIEW,50000,2026,04,01,당하동,00000,84.7875,15
동보,32700,2026,04,01,작전동,00000,84.58,16
도두리마을동보,9500,2026,04,01,작전동,00000,23.85,10
e편한세상 계양 더프리미어,50500,2026,04,01,효성동,00000,59.9768,14
e편한세상 계양 더프리미어,46000,2026,04,01,효성동,00000,59.8883,1
뉴서울6,27800,2026,04,01,효성동,00000,75.67,9
아주,17000,2026,04,01,방축동,00000,59.95,5
대동1,36000,2026,04,01,갈산동,00000,125.07,2
대성유니드,33000,2026,04,01,갈산동,00000,84.864,8
계양하늘채파크포레,40000,2026,04,01,방축동,00000,59.8946,9
신도브래뉴,31800,2026,04,01,계산동,00000,57.6852,8
한양,18000,2026,04,01,부개동,00000,47.57,1
금호어울림,44000,2026,04,01,석남동,00000,84.8003,8
주공1단지,23800,2026,04,01,갈산동,00000,49.94,9
루원제일풍경채,51000,2026,03,31,가정동,00000,74.5715,2
계양효성해링턴플레이스,46500,2026,03,31,서운동,00000,59.977,24
계양효성해링턴플레이스,61000,2026,03,31,서운동,00000,84.986,20
학마을한진,27500,2026,03,31,병방동,00000,59.73,15
학마을한진,26500,2026,03,31,병방동,00000,59.73,3
인천계양코아루센트럴파크,44000,2026,03,31,용종동,00000,59.97,13
학마을서원,15000,2026,03,31,병방동,00000,34.44,3
삼산타운7단지,67000,2026,03,31,삼산동,00000,84.96,11
삼산타운주공1단지,43700,2026,03,31,삼산동,00000,59.99,17
대동2,22000,2026,03,31,갈산동,00000,45.0,16
대동1,41000,2026,03,31,갈산동,00000,106.62,3
서해그랑블,46000,2026,03,31,삼산동,00000,84.98,30
학마을한진,23750,2026,03,31,병방동,00000,49.77,5
중앙하이츠,17850,2026,03,31,효성동,00000,59.98,6
삼보3,14700,2026,03,31,계산동,00000,49.59,1
학마을영남,11100,2026,03,31,병방동,00000,26.01,8
포레나루원시티,60000,2026,03,31,가정동,00000,84.5743,11
힐스테이트자이계양,59500,2026,03,31,작전동,00000,59.79,9
검암역로열파크씨티푸르지오1단지,54500,2026,03,31,백석동,00000,74.0021,3
금호어울림1차,32800,2026,03,31,당하동,00000,84.9917,15
당하푸르지오,36000,2026,03,31,당하동,00000,73.827,11
검단신도시한신더휴캐널파크(THEHUECANALPARK),64500,2026,03,31,당하동,00000,84.1588,24
포레나루원시티,50000,2026,03,31,가정동,00000,59.8134,14
주공5,37000,2026,03,31,부개동,00000,59.99,13
더샵센트럴파크2,120000,2026,03,31,송도동,00000,104.7392,38
인천시청역힐스테이트,49500,2026,03,31,간석동,00000,59.97,2
우성4차,28000,2026,03,31,산곡동,00000,84.97,2
부평산곡푸르지오,49500,2026,03,31,산곡동,00000,59.995,7
부평캐슬&더샵퍼스트,65500,2026,03,31,산곡동,00000,72.6394,4
랜드마크시티센트럴더샵,61800,2026,03,31,송도동,00000,84.9999,19
주공8단지,14000,2026,03,31,만수동,00000,44.94,1
주공8단지,15500,2026,03,31,만수동,00000,44.94,1
삼익세라믹,35500,2026,03,31,만수동,00000,132.81,12
유호엔시티101-103동,36700,2026,03,31,논현동,00000,84.8327,17
에코메트로5,56800,2026,03,31,논현동,00000,84.947,26
동아(1차),35500,2026,03,31,부평동,00000,52.43,9
백조주상복합,17700,2026,03,31,부평동,00000,55.35,9
동암신동아,28800,2026,03,31,십정동,00000,84.94,2
더포레스트,34400,2026,03,31,서창동,00000,59.98,12
"부평1,2차금호타운",34300,2026,03,31,청천동,00000,59.805,13
구월아시아드선수촌1단지,38000,2026,03,31,구월동,00000,59.99,3
팬더,25000,2026,03,31,구월동,00000,77.84,2
대주파크빌,25800,2026,03,31,십정동,00000,59.726,14
더샵송도마리나베이,67000,2026,03,31,송도동,00000,84.9766,26
송도오션파크베르디움,58900,2026,03,31,송도동,00000,75.9833,39
더샵퍼스트월드,105000,2026,03,31,송도동,00000,105.469,24
글로벌캠퍼스푸르지오,96000,2026,03,31,송도동,00000,134.96,23
호반써밋송도,76000,2026,03,31,송도동,00000,101.9864,5
더샵송도마리나베이,75500,2026,03,31,송도동,00000,84.916,23
효림파크뷰,15000,2026,03,31,숭의동,00000,48.6236,13
송림주공,15500,2026,03,31,송림동,00000,59.34,1
운서SKVIEWSkycity,41000,2026,03,31,운서동,00000,84.963,2
운서SKVIEWSkycity,42000,2026,03,31,운서동,00000,77.8532,12
금호베스트빌1단지,30500,2026,03,31,운서동,00000,84.244,8
동산휴먼시아2단지,24000,2026,03,31,송림동,00000,59.95,15
동산휴먼시아2단지,34500,2026,03,31,송림동,00000,84.99,10
신동아1,15700,2026,03,31,학익동,00000,49.03,5
인천 SK Sky VIEW,53900,2026,03,31,용현동,00000,84.9939,12
서해,20300,2026,03,31,용현동,00000,84.93,5
부성로얄,11500,2026,03,31,용현동,00000,52.65,1
신창미션힐,29000,2026,03,31,용현동,00000,59.851,17
백산,17700,2026,03,31,옥련동,00000,59.76,3
하늘도시우미린1단지,28300,2026,03,31,중산동,00000,59.96,6
주안파크자이더플래티넘,45000,2026,03,31,주안동,00000,59.96,9
한국,29000,2026,03,31,옥련동,00000,84.566,10
유천,32800,2026,03,31,연수동,00000,84.87,6
서원,10000,2026,03,31,학익동,00000,49.98,2
신비마을,16000,2026,03,31,주안동,00000,49.35,6
현대,44000,2026,03,31,청학동,00000,138.65,13
힐스테이트푸르지오주안,45000,2026,03,31,주안동,00000,59.72,17
청라롯데캐슬,93800,2026,03,31,청라동,00000,141.1803,31
호반베르디움앤영무예다음,45100,2026,03,31,청라동,00000,59.936,13
청라제일풍경채2차에듀앤파크,69800,2026,03,31,청라동,00000,84.993,9
청라29블럭호반베르디움,74500,2026,03,31,청라동,00000,84.9482,23
청라29블럭호반베르디움,68000,2026,03,31,청라동,00000,84.9482,9
청라린스트라우스,82000,2026,03,31,청라동,00000,124.4115,5
검단신도시대방디에트르리버파크,64300,2026,03,31,원당동,00000,84.99,10
검단신도시대방디에트르리버파크,55000,2026,03,31,원당동,00000,59.9834,6
세광엔리치빌1차,17000,2026,03,31,창리,00000,84.9942,7
청라엘에이치,49700,2026,03,31,청라동,00000,84.86,5
월드,20500,2026,03,31,불로동,00000,59.89,13
검단우방아이유쉘,39400,2026,03,30,금곡동,00000,84.3431,5
청라센트럴에일린의뜰,77000,2026,03,30,청라동,00000,84.9834,34
원당LG자이(원당지구69BL1L),34000,2026,03,30,원당동,00000,59.949,8
청라반도유보라2.0,63400,2026,03,30,청라동,00000,121.7338,5
청라엘에이치,52000,2026,03,30,청라동,00000,84.81,10
힐데스하임,55900,2026,03,30,청라동,00000,59.8871,22
청라 엑슬루타워,79000,2026,03,30,청라동,00000,150.28,25
청라웰카운티1차,50500,2026,03,30,청라동,00000,84.9792,4
검단신도시예미지트리플에듀,59950,2026,03,30,원당동,00000,76.6071,10
검단신도시로제비앙라포레,53200,2026,03,30,원당동,00000,84.8086,18
검단신도시대방디에트르리버파크,54800,2026,03,30,원당동,00000,59.9834,8
원당LG자이(원당지구69BL1L),36700,2026,03,30,원당동,00000,84.9511,7
퀸스타운(신명),23800,2026,03,30,불로동,00000,84.99,19
담방마을,12850,2026,03,30,만수동,00000,46.12,5
구월힐스테이트1단지,63000,2026,03,30,구월동,00000,133.827,11
하늘지움2차,28500,2026,03,30,구월동,00000,66.4706,11
구월힐스테이트1단지,52400,2026,03,30,구월동,00000,83.9829,13
우성꾸메마을I,22000,2026,03,30,간석동,00000,84.93,9
인향,10700,2026,03,30,간석동,00000,37.18,4
극동,41500,2026,03,30,간석동,00000,70.8,5
한진,20200,2026,03,30,간석동,00000,61.16,3
간석래미안자이,52000,2026,03,30,간석동,00000,84.98,2
더샵엑스포10단지,89000,2026,03,30,송도동,00000,116.3387,9
더샵송도센트럴파크Ⅲ,150000,2026,03,30,송도동,00000,102.49,11
송도SK뷰센트럴,80300,2026,03,30,송도동,00000,84.7854,14
송도오션파크베르디움,57900,2026,03,30,송도동,00000,75.9833,24
송도더샵센트럴시티,85800,2026,03,30,송도동,00000,84.97,8
더샵송도프라임뷰20BL,123500,2026,03,30,송도동,00000,114.26,10
힐스테이트부평,58500,2026,03,30,십정동,00000,59.98,25
십정뜨란채1단지,38000,2026,03,30,십정동,00000,84.6,17
인천 소래논현구역 C10블록 에코메트로 3차 더 타워,53000,2026,03,30,논현동,00000,117.318,30
한라,18000,2026,03,30,논현동,00000,59.7,14
투엠레뷰,17600,2026,03,30,부평동,00000,46.48,6
부평역화성파크드림,56500,2026,03,30,부평동,00000,75.8795,22
대림에이원,30500,2026,03,30,부평동,00000,94.45,8
중앙하이츠프리미어부평,39800,2026,03,30,부평동,00000,59.8979,4
풍림,23800,2026,03,30,논현동,00000,59.7,19
논현단풍마을트리플에듀,35000,2026,03,30,논현동,00000,84.38,12
별빛마을웰카운티(10단지),47000,2026,03,30,논현동,00000,101.53,25
논현신일해피트리,51000,2026,03,30,논현동,00000,134.894,7
주공2단지,33000,2026,03,30,논현동,00000,83.84,5
대성유니드별빛마을,32000,2026,03,30,만수동,00000,84.3496,16
e편한세상부평그랑힐스,50400,2026,03,30,청천동,00000,59.8924,34
e편한세상부평그랑힐스,52000,2026,03,30,청천동,00000,59.5839,40
"부평1,2차금호타운",30000,2026,03,30,청천동,00000,59.805,2
청천우민늘푸른아파트,30700,2026,03,30,청천동,00000,59.4568,10
우성1차2차(294-35),33000,2026,03,30,산곡동,00000,73.96,6
현대3차,37000,2026,03,30,산곡동,00000,84.945,12
더포레스트,34000,2026,03,30,서창동,00000,59.98,20
신동아,31000,2026,03,30,오류동,00000,84.96,5
유승한내들 에듀파크,63500,2026,03,30,당하동,00000,92.2153,15
삼산타운2단지,62800,2026,03,30,삼산동,00000,84.98,10
태평샹베르1차,29000,2026,03,30,경서동,00000,84.5496,4
계양효성해링턴플레이스,46500,2026,03,30,서운동,00000,59.977,23
계양효성해링턴플레이스,44200,2026,03,30,서운동,00000,59.977,6
가재울역트루엘에코시티,36200,2026,03,30,가좌동,00000,49.41,17
현대,21500,2026,03,30,삼산동,00000,59.93,17
현대,38300,2026,03,30,계산동,00000,84.945,5
팬더2,14000,2026,03,30,계산동,00000,40.76,2
현대,30000,2026,03,30,계산동,00000,71.175,16
루원시티SKLeaders'VIEW,77500,2026,03,30,가정동,00000,84.8254,28
하나,15700,2026,03,30,계산동,00000,37.17,2
e편한세상 계양 더프리미어,49800,2026,03,30,효성동,00000,59.8883,14
유승,18500,2026,03,30,효성동,00000,59.85,17
신동아,17500,2026,03,30,석남동,00000,59.98,3
서해그랑블5단지,87000,2026,03,30,삼산동,00000,130.0383,13
루원린스트라우스더린시티,77000,2026,03,30,가정동,00000,84.7618,31
극동늘푸른,22500,2026,03,30,심곡동,00000,59.795,19
한일,24000,2026,03,30,부개동,00000,61.47,1
호반써밋프라임뷰,54000,2026,03,30,당하동,00000,72.6954,11
